City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,59.7,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Cidreira,BR,69.26,clear sky,-30.1811,-50.2056,Hotel Castelo
3,Hambantota,LK,77.61,few clouds,6.1241,81.1185,Bungalow 63
4,Cabra,ES,55.65,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
6,Rikitea,PF,79.18,scattered clouds,-23.1203,-134.9692,People ThankYou
7,Pacific Grove,US,64.58,overcast clouds,36.6177,-121.9166,Lovers Point Inn
8,Westport,US,38.89,overcast clouds,41.1415,-73.3579,The Inn at Longshore
9,Darnah,LY,58.48,overcast clouds,32.767,22.6367,فندق الفردوس
10,Mae Sai,TH,73.69,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
11,Hithadhoo,MV,81.55,clear sky,-0.6,73.0833,Scoop Guest House
12,Atuona,PF,78.82,light rain,-9.8,-139.0333,Villa Enata
13,Jamestown,US,20.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
14,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
15,Lebu,CL,54.48,clear sky,-37.6167,-73.65,Hostal Las Lilas
17,Saint-Louis,SN,70.21,broken clouds,16.3333,-15.0,
20,Olafsvik,IS,33.33,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
21,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
23,Shelton,US,38.97,overcast clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
26,Ushuaia,AR,39.56,scattered clouds,-54.8,-68.3,Albatross Hotel
28,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
29,Chuy,UY,63.43,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
30,Bengkulu,ID,73.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Castro,BR,63.03,clear sky,-24.7911,-50.0119,CHACARA BAILLY
32,Guerrero Negro,MX,68.49,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
34,Paamiut,GL,23.97,overcast clouds,61.994,-49.6678,Pistut
35,La Palma,US,74.82,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
36,Busselton,AU,61.47,clear sky,-33.65,115.3333,Observatory Guest House
37,Punta Arenas,CL,44.11,broken clouds,-53.15,-70.9167,Hotel Hain
38,Mataura,NZ,71.1,clear sky,-46.1927,168.8643,Ellie's Villa
39,Lagoa,PT,58.69,overcast clouds,39.05,-27.9833,Casa Das Faias
40,Yanai,JP,50.52,overcast clouds,33.9667,132.1167,Yanai City Hotel
41,Touros,BR,80.06,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
43,Krasnyy Yar,RU,35.53,overcast clouds,46.5331,48.3456,Cottege near Ufa
44,Pampa,US,69.84,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
45,Alofi,NU,80.2,moderate rain,-19.0595,-169.9187,Taloa Heights
46,Hilo,US,81.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Harper,LR,79.99,broken clouds,4.375,-7.7169,Screensaver
48,Komarikhinskiy,RU,31.01,overcast clouds,58.0979,57.1163,
49,Ribeira Grande,PT,60.08,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
50,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
51,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Zonguldak,TR,34.52,scattered clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
54,Erenhot,CN,37.45,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
55,Victoria,HK,64.94,light rain,22.2855,114.1577,Mini Hotel Central
56,Burgstadt,DE,41.92,clear sky,50.9167,12.8167,Center Hotel Alte Spinnerei
57,Panlaitan,PH,83.89,scattered clouds,12.1191,119.8486,Panlaitan Cetro Beach
58,Sur,OM,79.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
60,Saint-Philippe,RE,77.22,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Ishigaki,JP,69.67,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
62,Doha,QA,66.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
63,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
64,Brewster,US,37.27,overcast clouds,41.3973,-73.6171,Heidi's Inn
65,Natal,BR,79.32,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
66,Albany,US,29.35,overcast clouds,42.6001,-73.9662,
67,Obodivka,UA,32.07,broken clouds,48.4051,29.2477,
69,Izmit,TR,48.69,scattered clouds,40.7669,29.9169,Seka Park Hotel
70,Hobart,AU,63.27,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
71,Brooks,CA,59.04,overcast clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
72,Hermanus,ZA,62.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
74,Jinzhou,CN,46.18,clear sky,41.1078,121.1417,Sheraton Jinzhou Hotel
75,Sisimiut,GL,23.97,scattered clouds,66.9395,-53.6735,Hotel Sisimiut
76,Carnarvon,AU,76.93,clear sky,-24.8667,113.6333,Hospitality Carnarvon
78,Boyolangu,ID,77.79,overcast clouds,-8.1181,111.8935,Yos ega cv
79,Catuday,PH,80.42,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
81,Mildura,AU,77.07,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
82,Siddipet,IN,77.99,clear sky,18.1,78.85,Roads And Buildings (R&B) Guest House
83,Lorengau,PG,82.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
85,Belmonte,BR,78.03,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
86,Manzhouli,CN,29.57,broken clouds,49.6,117.4333,Angala International Youth Hostel
87,Flinders,AU,70.25,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
88,Bolshaya Rechka,RU,23.27,overcast clouds,51.9503,104.7355,Hotel Beliy ruchey
90,Antofagasta,CL,65.89,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
91,Amapa,BR,72.9,moderate rain,1.0,-52.0,
92,Fortuna,US,64.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
93,Bredasdorp,ZA,64.9,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
94,Khasan,RU,41.23,clear sky,42.4308,130.6434,
95,Torbay,CA,40.28,light rain,47.6666,-52.7314,Gallows Cove
96,Acapulco,MX,81.48,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
97,Kismayo,SO,80.96,overcast clouds,-0.3582,42.5454,Agan-Hotel
99,Smithers,CA,40.96,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
100,San Jose,US,67.51,broken clouds,37.3394,-121.895,The Westin San Jose
101,Bireun,ID,76.44,scattered clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
102,Ranir Bazar,IN,71.74,scattered clouds,23.8333,91.3667,Robiul
103,Koumra,TD,81.37,scattered clouds,8.9126,17.5539,Yamtoide house koumra
104,New Norfolk,AU,62.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
105,Bambanglipuro,ID,78.03,broken clouds,-7.95,110.2833,Puri Brata
106,Sinjar,IQ,43.0,clear sky,36.3209,41.8754,زوماني فون 1
107,Port Blair,IN,80.85,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
108,Ponta Do Sol,PT,62.06,broken clouds,32.6667,-17.1,Hotel do Campo
109,Puerto Ayora,EC,79.43,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
110,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
111,Siderno,IT,57.34,broken clouds,38.2779,16.302,Grand Hotel President
112,New Albany,US,44.28,few clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
113,Riyadh,SA,57.83,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
114,Vostok,RU,24.57,overcast clouds,46.4856,135.8833,
116,Arraial Do Cabo,BR,76.87,few clouds,-22.9661,-42.0278,Pousada Porto Praia
117,East London,ZA,70.41,overcast clouds,-33.0153,27.9116,Tu Casa
118,Cururupu,BR,74.59,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
119,Mar Del Plata,AR,61.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
120,Peniche,PT,62.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
121,Trelew,AR,67.53,clear sky,-43.249,-65.3051,Hotel Touring Club
123,Gaziantep,TR,35.53,clear sky,37.0594,37.3825,Novotel Gaziantep
124,Mitu,CO,71.65,overcast clouds,1.1983,-70.1733,
125,Yuci,CN,38.95,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
126,Aketi,CD,77.22,overcast clouds,2.7388,23.7833,
127,Brae,GB,47.19,clear sky,60.3964,-1.353,Busta House Hotel
128,Vao,NC,76.84,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
129,Wadi Musa,JO,44.02,clear sky,30.3222,35.4793,Petra Palace Hotel
130,Vasai,IN,80.69,few clouds,19.47,72.8,Go Firne
131,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
132,Parkhill,CA,23.86,overcast clouds,43.1501,-81.6831,The Great Canadian Hideaway
133,Port Shepstone,ZA,71.62,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
134,Luban,PL,44.51,clear sky,51.1201,15.2877,Motel Łużycki
135,Sao Filipe,CV,70.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
136,Husavik,IS,23.92,scattered clouds,66.0449,-17.3389,Bjarnabúð
137,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
138,Narsaq,GL,41.22,broken clouds,60.9167,-46.05,Sleep In Narsaq
139,Te Anau,NZ,70.32,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
140,Hofn,IS,32.45,overcast clouds,64.2539,-15.2082,Hótel Höfn
141,Rognedino,RU,22.1,overcast clouds,53.8015,33.5576,
143,Ucluelet,CA,50.31,light rain,48.9329,-125.5528,Black Rock Oceanfront Resort
144,Timra,SE,42.48,few clouds,62.487,17.3257,Bergefors park
145,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
146,Hasaki,JP,59.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
147,Vaini,TO,80.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
148,Butwal,NP,69.03,clear sky,27.7006,83.4484,Hotel Sindoor Pvt. Ltd.
149,Ilulissat,GL,20.48,broken clouds,69.2167,-51.1,Hotel Arctic
150,Kaitangata,NZ,65.46,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
151,Tasiilaq,GL,26.76,overcast clouds,65.6145,-37.6368,The Red House
152,Rawson,AR,66.7,clear sky,-43.3002,-65.1023,Hosteria Sampedro
153,Pontian Kecil,MY,78.69,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
154,Gambela,ET,80.35,clear sky,8.25,34.5833,Solomon Debebe Hotel
155,Unai,BR,76.75,scattered clouds,-16.3575,-46.9061,Hotel Regente
156,Vangaindrano,MG,74.44,overcast clouds,-23.35,47.6,Hotel Fanilo
157,Kekri,IN,74.12,clear sky,25.9667,75.15,Rajasthani Pavitra Bhojnalaya
158,Galt,US,69.01,overcast clouds,38.2546,-121.3,Best Western Galt Inn
160,Ahipara,NZ,70.79,clear sky,-35.1667,173.1667,Ahipara Holiday Park
162,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
164,Samarai,PG,83.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
165,Vilhena,BR,71.58,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
166,Inhambane,MZ,73.76,clear sky,-23.865,35.3833,Oceano
167,Northam,GB,48.38,clear sky,51.0333,-4.2167,Durrant House Hotel
168,Bethel,US,37.02,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
169,Umm Kaddadah,SD,65.93,clear sky,13.6017,26.6876,
171,Sao Joao Da Barra,BR,77.74,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
172,Kruisfontein,ZA,62.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
173,Datong,CN,37.81,clear sky,40.0936,113.2914,Holiday Inn Datong City Centre
174,Cairns,AU,87.12,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
175,Mackay,AU,84.69,clear sky,-21.15,149.2,International Lodge Motel
176,Kavaratti,IN,82.24,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
178,Nerchinsk,RU,25.75,scattered clouds,51.9833,116.5833,Transbaikal N. Hotel
179,Severo-Kurilsk,RU,33.26,light snow,50.6789,156.125,Kak Doma
180,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
181,Zlobin,HR,43.16,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
182,Wattegama,LK,73.63,clear sky,6.7989,81.4808,
183,Besancon,FR,52.14,clear sky,47.2488,6.0182,ibis Besançon Centre-Ville
186,Yumen,CN,41.45,overcast clouds,40.2833,97.2,
187,Nuuk,GL,32.61,overcast clouds,64.1835,-51.7216,Vandrehuset
188,Mount Gambier,AU,67.42,scattered clouds,-37.8333,140.7667,The Commodore
189,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
191,Rabo De Peixe,PT,58.51,scattered clouds,37.8,-25.5833,Quinta das Giestas
192,Nerchinskiy Zavod,RU,24.28,few clouds,51.3088,119.61,Gostinitsa
193,Agadez,NE,70.38,clear sky,19.75,10.25,
194,Luz,BR,72.48,broken clouds,-19.8014,-45.6856,Hotel Turista
195,Ossora,RU,27.91,snow,59.2353,163.0719,
196,Cape Town,ZA,68.11,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
197,Cabo San Lucas,MX,86.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
198,Borba,BR,75.54,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
199,Jumla,NP,45.05,clear sky,29.2747,82.1838,Royal Garden Hotel
200,Kuala Terengganu,MY,78.98,clear sky,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
201,Burbank,US,73.26,clear sky,34.1808,-118.309,Hotel Burbank
202,Itoman,JP,64.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
206,Inta,RU,22.71,overcast clouds,66.0317,60.1659,Apartments in Inta city
207,Plouzane,FR,57.38,clear sky,48.3833,-4.6167,Lymina
208,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
209,Fairbanks,US,40.96,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
211,Nalut,LY,64.22,few clouds,30.3333,10.85,
215,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
217,Nanortalik,GL,28.42,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
218,Kitsuki,JP,51.31,overcast clouds,33.4167,131.6167,Hotel Silk Road
221,Pitimbu,BR,79.39,light rain,-7.4706,-34.8086,Reserva do Abiaí
222,Tautira,PF,81.59,light rain,-17.7333,-149.15,Pension Oaoa
223,Saint George,US,84.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
224,Nome,US,28.47,clear sky,64.5011,-165.4064,Dredge 7 Inn
225,Merauke,ID,82.22,overcast clouds,-8.4667,140.3333,
226,Grand Island,US,47.19,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
227,Byron Bay,AU,70.72,light rain,-28.65,153.6167,Backpackers Inn
228,Codrington,AU,64.98,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
229,Teknaf,BD,75.69,few clouds,20.8624,92.3058,Forestry Guesthouse
230,Ahtopol,BG,46.09,broken clouds,42.1,27.95,Agata Beach Hotel
231,Jalu,LY,60.39,clear sky,29.0331,21.5482,صاحبة الفخامة
232,Ciudad Bolivar,VE,85.51,broken clouds,8.1222,-63.5497,Hotel Edi
233,Kailua,US,80.15,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
234,Guane,CU,74.3,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
235,Purranque,CL,47.28,few clouds,-40.9167,-73.1667,HOSPADAJE ERICA
237,Muros,ES,56.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
238,Tanabe,JP,57.92,overcast clouds,33.7333,135.3667,美吉屋旅館
239,Huangnihe,CN,37.13,clear sky,43.5583,128.0239,Huangnihe Forestry Bureau Huanglin Hotel
240,Phalaborwa,ZA,68.4,few clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
241,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
242,Baracoa,CU,73.6,broken clouds,20.3467,-74.4958,Hostal Rio Miel
243,Honiara,SB,84.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
244,Acari,PE,74.07,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
245,Karratha,AU,82.11,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
246,Russell,US,67.6,clear sky,32.3502,-85.1999,Macs
247,Isangel,VU,83.48,scattered clouds,-19.55,169.2667,Tanna Lodge
248,Airai,TL,67.12,broken clouds,-8.9266,125.4092,
