City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,59.7,74,8,2.82,clear sky
1,Yellowknife,CA,62.456,-114.3525,17.42,58,20,3.44,few clouds
2,Cidreira,BR,-30.1811,-50.2056,69.26,81,0,8.75,clear sky
3,Hambantota,LK,6.1241,81.1185,77.61,87,14,5.75,few clouds
4,Cabra,ES,37.4725,-4.4421,55.65,72,98,3.69,overcast clouds
5,Dikson,RU,73.5069,80.5464,-18.04,100,26,3.71,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,79.18,65,27,8.81,scattered clouds
7,Pacific Grove,US,36.6177,-121.9166,64.58,64,86,21.99,overcast clouds
8,Westport,US,41.1415,-73.3579,38.89,57,100,13.0,overcast clouds
9,Darnah,LY,32.767,22.6367,58.48,61,87,12.48,overcast clouds
10,Mae Sai,TH,20.4335,99.8762,73.69,58,66,2.17,broken clouds
11,Hithadhoo,MV,-0.6,73.0833,81.55,65,5,5.97,clear sky
12,Atuona,PF,-9.8,-139.0333,78.82,82,67,13.15,light rain
13,Jamestown,US,42.097,-79.2353,20.01,61,100,13.8,overcast clouds
14,Klaksvik,FO,62.2266,-6.589,40.12,81,100,14.47,overcast clouds
15,Lebu,CL,-37.6167,-73.65,54.48,84,0,10.16,clear sky
16,Okhotsk,RU,59.3833,143.3,9.0,72,1,18.39,clear sky
17,Saint-Louis,SN,16.3333,-15.0,70.21,41,64,14.41,broken clouds
18,Thompson,CA,55.7435,-97.8558,13.14,80,25,2.71,scattered clouds
19,Tiksi,RU,71.6872,128.8694,-1.16,94,100,4.07,overcast clouds
20,Olafsvik,IS,64.8945,-23.7142,33.33,72,100,22.15,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,64.18,93,99,1.01,overcast clouds
22,Khatanga,RU,71.9667,102.5,-14.04,100,94,6.4,overcast clouds
23,Shelton,US,41.3165,-73.0932,38.97,74,100,6.91,overcast clouds
24,Belyy Yar,RU,53.6039,91.3903,9.86,71,0,2.24,clear sky
25,Tuktoyaktuk,CA,69.4541,-133.0374,-6.12,84,3,7.65,clear sky
26,Ushuaia,AR,-54.8,-68.3,39.56,92,50,4.34,scattered clouds
27,Aktash,RU,50.3,87.7333,10.53,94,99,1.14,light snow
28,Grand Gaube,MU,-20.0064,57.6608,76.37,85,1,1.01,clear sky
29,Chuy,UY,-33.6971,-53.4616,63.43,64,0,2.57,clear sky
30,Bengkulu,ID,-3.8004,102.2655,73.85,86,69,5.19,broken clouds
31,Castro,BR,-24.7911,-50.0119,63.03,82,5,1.07,clear sky
32,Guerrero Negro,MX,27.9769,-114.0611,68.49,55,100,10.65,overcast clouds
33,Upernavik,GL,72.7868,-56.1549,14.9,74,96,4.16,overcast clouds
34,Paamiut,GL,61.994,-49.6678,23.97,81,89,6.15,overcast clouds
35,La Palma,US,33.8464,-118.0467,74.82,65,0,7.0,clear sky
36,Busselton,AU,-33.65,115.3333,61.47,64,0,15.48,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,44.11,70,74,11.83,broken clouds
38,Mataura,NZ,-46.1927,168.8643,71.1,49,3,1.95,clear sky
39,Lagoa,PT,39.05,-27.9833,58.69,85,99,11.7,overcast clouds
40,Yanai,JP,33.9667,132.1167,50.52,58,100,11.81,overcast clouds
41,Touros,BR,-5.1989,-35.4608,80.06,83,58,10.31,broken clouds
42,Qaanaaq,GL,77.484,-69.3632,10.81,95,100,7.78,light snow
43,Krasnyy Yar,RU,46.5331,48.3456,35.53,64,96,18.19,overcast clouds
44,Pampa,US,35.5362,-100.9599,69.84,30,0,19.57,clear sky
45,Alofi,NU,-19.0595,-169.9187,80.2,80,100,17.98,moderate rain
