City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,81,US,2022-03-27 03:15:46,87,42.6001,-73.9662,38.41,1.01
1,Clyde River,100,CA,2022-03-27 03:15:46,78,70.4692,-68.5914,-1.97,10.36
2,Mataura,0,NZ,2022-03-27 03:15:47,48,-46.1927,168.8643,70.16,2.37
3,Luoyang,100,CN,2022-03-27 03:15:47,21,34.6836,112.4536,57.54,10.38
4,Sakakah,0,SA,2022-03-27 03:15:48,41,29.9697,40.2064,45.97,7.94
5,Orem,0,US,2022-03-27 03:15:48,26,40.2969,-111.6946,65.59,4.61
6,Rikitea,2,PF,2022-03-27 03:15:48,70,-23.1203,-134.9692,79.57,13.42
7,Kapaa,0,US,2022-03-27 03:15:49,66,22.0752,-159.319,78.78,17.27
8,Dryden,0,CA,2022-03-27 03:15:49,43,49.7833,-92.7503,5.29,6.91
9,Chuy,39,UY,2022-03-27 03:15:50,76,-33.6971,-53.4616,65.44,10.02
10,Tuktoyaktuk,20,CA,2022-03-27 03:15:50,70,69.4541,-133.0374,-9.4,11.5
11,Mitsamiouli,48,KM,2022-03-27 03:15:50,77,-11.3847,43.2844,81.63,3.91
12,College,75,US,2022-03-27 03:15:51,58,64.8569,-147.8028,37.72,0.0
13,Fort Nelson,40,CA,2022-03-27 03:15:51,63,58.8053,-122.7002,26.19,2.3
14,Touros,96,BR,2022-03-27 03:15:52,86,-5.1989,-35.4608,78.12,7.11
15,Srednekolymsk,100,RU,2022-03-27 03:15:52,84,67.45,153.6833,10.24,15.95
16,Ushuaia,100,AR,2022-03-27 03:13:41,99,-54.8,-68.3,40.39,4.72
17,Roma,100,US,2022-03-27 03:14:06,82,43.2128,-75.4557,40.37,14.97
18,Hobart,20,AU,2022-03-27 03:15:53,45,-42.8794,147.3294,79.23,14.97
19,Hermanus,5,ZA,2022-03-27 03:06:56,85,-34.4187,19.2345,63.81,12.88
20,Taviano,99,IT,2022-03-27 03:15:53,74,39.9835,18.0868,42.69,9.01
21,Ponta Do Sol,100,PT,2022-03-27 03:15:54,86,32.6667,-17.1,64.0,16.62
22,Sabang,17,ID,2022-03-27 03:15:54,75,5.8933,95.3214,82.4,1.54
23,Mar Del Plata,100,AR,2022-03-27 03:13:10,89,-38.0023,-57.5575,60.82,9.22
24,Singaraja,95,ID,2022-03-27 03:15:10,64,-8.112,115.0882,87.06,3.8
25,Dunedin,0,NZ,2022-03-27 03:15:55,63,-45.8742,170.5036,64.8,7.0
26,Jocoro,88,SV,2022-03-27 03:15:55,51,13.6167,-88.0167,77.43,5.26
27,Ibra,0,OM,2022-03-27 03:15:56,19,22.6906,58.5334,77.52,1.9
28,Cape Town,0,ZA,2022-03-27 03:15:56,77,-33.9258,18.4232,62.11,3.44
29,Hilo,40,US,2022-03-27 03:15:57,82,19.7297,-155.09,74.93,12.66
30,Pisco,0,PE,2022-03-27 03:15:57,82,-13.7,-76.2167,66.25,8.05
31,Bowen,93,AU,2022-03-27 03:15:57,67,-20.0167,148.2333,82.6,13.27
32,Luganville,98,VU,2022-03-27 03:15:58,79,-15.5333,167.1667,83.23,3.31
33,East London,20,ZA,2022-03-27 03:15:58,94,-33.0153,27.9116,65.34,1.14
34,Bethel,100,US,2022-03-27 03:15:59,89,41.3712,-73.414,42.49,1.01
35,Saskylakh,100,RU,2022-03-27 03:15:59,100,71.9167,114.0833,-13.4,4.27
36,Esperance,100,AU,2022-03-27 03:11:07,84,-33.8667,121.9,66.04,20.67
37,Mangrol,6,IN,2022-03-27 03:16:00,48,21.1167,70.1167,82.22,10.33
38,Bluff,0,NZ,2022-03-27 03:16:00,74,-46.6,168.3333,58.8,5.12
39,Nouadhibou,100,MR,2022-03-27 03:16:00,82,20.931,-17.0347,62.82,10.27
40,Ilulissat,100,GL,2022-03-27 03:06:55,57,69.2167,-51.1,15.82,3.44
41,Punta Arenas,100,CL,2022-03-27 03:14:42,93,-53.15,-70.9167,46.11,8.12
42,Rundu,55,NA,2022-03-27 03:16:01,63,-17.9333,19.7667,64.56,2.66
43,Jamestown,100,US,2022-03-27 03:14:15,71,42.097,-79.2353,31.59,11.5
44,Lagoa,76,PT,2022-03-27 03:16:02,88,39.05,-27.9833,59.13,22.53
45,Butaritari,30,KI,2022-03-27 03:16:02,71,3.0707,172.7902,81.52,14.0
46,Bambous Virieux,20,MU,2022-03-27 03:16:03,94,-20.3428,57.7575,78.22,3.44
47,At-Bashi,99,KG,2022-03-27 03:16:03,88,41.1702,75.8106,35.26,3.74
48,Dongobesh,75,TZ,2022-03-27 03:17:03,96,-4.0667,35.3833,54.05,3.56
49,Saint-Georges,20,GD,2022-03-27 03:17:04,78,12.0564,-61.7485,78.48,23.02
50,Durango,47,MX,2022-03-27 03:13:42,12,24.8333,-104.8333,55.17,1.52
51,Saint-Philippe,17,RE,2022-03-27 03:17:05,83,-21.3585,55.7679,76.59,10.09
52,Sechura,100,PE,2022-03-27 03:17:05,75,-5.5569,-80.8222,73.0,12.41
53,Georgetown,20,MY,2022-03-27 03:17:06,74,5.4112,100.3354,89.53,8.05
54,Vardo,100,NO,2022-03-27 03:17:06,61,70.3705,31.1107,26.67,25.55
55,Arraial Do Cabo,8,BR,2022-03-27 03:17:06,93,-22.9661,-42.0278,76.17,6.53
56,Okha,100,RU,2022-03-27 03:17:07,95,53.5739,142.9478,30.09,26.06
57,Talnakh,93,RU,2022-03-27 03:17:07,76,69.4865,88.3972,16.21,4.61
58,Busselton,53,AU,2022-03-27 03:17:08,57,-33.65,115.3333,70.0,19.22
59,Besuki,84,ID,2022-03-27 03:17:08,67,-7.7338,113.6979,85.28,3.42
60,Taoudenni,86,ML,2022-03-27 03:17:09,15,22.6783,-3.9836,78.17,7.45
61,Lucea,94,JM,2022-03-27 03:17:09,71,18.451,-78.1736,79.86,7.36
62,Requena,47,ES,2022-03-27 03:17:10,89,39.4883,-1.1004,45.52,3.89
63,San Cristobal,100,VE,2022-03-27 03:17:10,92,7.7669,-72.225,73.58,2.21
64,Walvis Bay,0,NA,2022-03-27 03:17:10,83,-22.9575,14.5053,59.09,2.26
65,San Lawrenz,99,MT,2022-03-27 03:17:11,83,36.0553,14.204,57.85,8.99
66,Avarua,75,CK,2022-03-27 03:17:11,89,-21.2078,-159.775,78.85,6.91
67,Vaini,40,TO,2022-03-27 03:17:12,78,-21.2,-175.2,80.76,11.5
68,Marsh Harbour,0,BS,2022-03-27 03:16:29,54,26.5412,-77.0636,71.11,11.97
69,Port Alfred,48,ZA,2022-03-27 03:12:52,92,-33.5906,26.891,65.17,8.43
70,Port Elizabeth,20,ZA,2022-03-27 03:17:12,95,-33.918,25.5701,61.32,1.14
71,Tafresh,0,IR,2022-03-27 03:17:13,54,34.692,50.013,33.53,4.27
72,Okato,10,NZ,2022-03-27 03:17:13,62,-39.2,173.8833,68.92,14.97
73,Severo-Kurilsk,100,RU,2022-03-27 03:17:14,98,50.6789,156.125,32.83,29.26
74,Sabla,1,NG,2022-03-27 03:17:14,11,12.7525,4.7077,79.54,16.82
75,Bengkulu,39,ID,2022-03-27 03:08:21,63,-3.8004,102.2655,83.95,6.55
76,Cabo San Lucas,0,MX,2022-03-27 03:17:15,35,22.8909,-109.9124,77.31,5.75
77,Bredasdorp,6,ZA,2022-03-27 03:17:15,84,-34.5322,20.0403,61.02,9.04
78,La Paz,75,BO,2022-03-27 03:17:16,93,-16.5,-68.15,48.18,11.5
79,Atuona,10,PF,2022-03-27 03:17:16,80,-9.8,-139.0333,79.32,16.78
80,Khomutovka,98,RU,2022-03-27 03:17:16,75,51.9207,34.5619,26.91,20.71
81,Kodiak,100,US,2022-03-27 03:15:48,93,57.79,-152.4072,36.91,0.0
82,Ndele,95,CF,2022-03-27 03:17:17,15,8.4109,20.6473,72.86,6.26
83,Kulu,0,TR,2022-03-27 03:17:18,77,39.0951,33.0799,30.61,6.04
84,Tasiilaq,0,GL,2022-03-27 03:17:18,63,65.6145,-37.6368,26.76,7.72
85,Aitape,100,PG,2022-03-27 03:17:18,89,-3.1374,142.3475,78.15,4.36
86,Rameswaram,4,IN,2022-03-27 03:17:19,79,9.2833,79.3,82.26,9.13
87,Kamenka,100,RU,2022-03-27 03:17:19,98,51.3223,42.7678,32.95,11.36
88,Oistins,0,BB,2022-03-27 03:17:20,69,13.0667,-59.5333,77.09,16.11
89,Castro,45,BR,2022-03-27 03:17:20,97,-24.7911,-50.0119,60.89,2.95
90,Lompoc,0,US,2022-03-27 03:17:21,92,34.6391,-120.4579,57.34,4.61
91,Bulaevo,97,KZ,2022-03-27 03:18:21,93,54.9056,70.4439,7.72,9.4
92,Vulcana Bai,75,RO,2022-03-27 03:18:21,66,45.0833,25.3833,48.16,5.93
93,Isangel,99,VU,2022-03-27 03:18:22,70,-19.55,169.2667,84.31,3.44
94,Aklavik,100,CA,2022-03-27 03:18:22,95,68.2191,-135.0107,0.19,6.46
95,Egvekinot,97,RU,2022-03-27 03:18:23,92,66.3167,-179.1667,8.74,1.97
96,Whitehorse,75,CA,2022-03-27 03:18:23,51,60.7161,-135.0538,34.57,4.61
97,Lingyuan,0,CN,2022-03-27 03:18:23,14,41.24,119.4011,44.87,18.43
98,Zuwarah,85,LY,2022-03-27 03:18:24,27,32.9312,12.082,68.52,7.45
99,Killarney,0,IE,2022-03-27 03:18:24,87,52.05,-9.5167,42.15,4.47
100,Hithadhoo,10,MV,2022-03-27 03:18:25,69,-0.6,73.0833,82.35,8.84
101,Severnyy,75,RU,2022-03-27 03:18:25,69,50.677,36.5532,33.84,15.66
102,Hami,14,CN,2022-03-27 03:18:26,20,42.8,93.45,54.34,8.32
103,Surt,17,LY,2022-03-27 03:18:26,30,31.2089,16.5887,60.01,16.96
104,Provideniya,96,RU,2022-03-27 03:18:26,79,64.3833,-173.3,22.28,1.61
105,Saint George,0,US,2022-03-27 03:17:50,14,37.1041,-113.5841,77.95,9.22
106,Nikolskoye,100,RU,2022-03-27 03:18:27,74,59.7035,30.7861,25.88,15.86
107,Parambu,100,BR,2022-03-27 03:18:27,97,-6.2111,-40.6944,68.65,3.06
108,Salalah,100,OM,2022-03-27 03:18:28,45,17.0151,54.0924,77.95,2.17
109,Presidente Medici,100,BR,2022-03-27 03:18:28,98,-11.1753,-61.9014,73.47,3.53
110,Little Current,97,CA,2022-03-27 03:15:44,77,45.9793,-81.9248,24.85,13.4
111,Caravelas,2,BR,2022-03-27 03:18:29,89,-17.7125,-39.2481,76.37,5.66
112,Saint Anthony,0,US,2022-03-27 03:18:29,39,45.0205,-93.218,26.92,14.97
113,Ambon,20,ID,2022-03-27 03:18:30,62,-3.6954,128.1814,87.94,3.44
114,Initao,100,PH,2022-03-27 03:18:30,85,8.4997,124.3039,80.98,2.01
115,Matara,1,LK,2022-03-27 03:18:31,72,5.9485,80.5353,82.36,6.64
116,Pacific Grove,20,US,2022-03-27 03:18:31,89,36.6177,-121.9166,56.34,4.61
117,Yellowknife,100,CA,2022-03-27 03:15:44,79,62.456,-114.3525,2.41,9.22
118,Airai,45,TL,2022-03-27 03:18:31,61,-8.9266,125.4092,73.69,2.24
119,Byron Bay,100,AU,2022-03-27 03:15:09,84,-28.65,153.6167,74.71,2.55
120,Norman Wells,75,CA,2022-03-27 03:18:32,51,65.282,-126.8329,5.04,3.44
121,Ha Tinh,16,VN,2022-03-27 03:18:32,74,18.3333,105.9,82.69,11.99
122,Yulara,2,AU,2022-03-27 03:18:33,13,-25.2406,130.9889,89.44,4.61
123,Krasnotorka,100,UA,2022-03-27 03:18:33,64,48.682,37.5327,39.79,14.56
124,Faanui,22,PF,2022-03-27 03:18:34,72,-16.4833,-151.75,82.11,12.19
125,Ishigaki,75,JP,2022-03-27 03:18:34,94,24.3448,124.1572,69.93,14.97
126,Chalatenango,73,SV,2022-03-27 03:18:35,59,14.0333,-88.9333,75.58,4.74
127,Port Hedland,68,AU,2022-03-27 03:18:35,43,-20.3167,118.5667,93.25,10.36
128,Tiksi,91,RU,2022-03-27 03:18:35,96,71.6872,128.8694,-2.92,2.01
129,Ribeira Grande,70,PT,2022-03-27 03:18:36,85,38.5167,-28.7,60.93,10.74
130,New Norfolk,0,AU,2022-03-27 03:18:36,37,-42.7826,147.0587,78.89,3.0
131,Codrington,2,AU,2022-03-27 03:18:37,29,-38.2667,141.9667,81.99,8.25
132,Contai,88,IN,2022-03-27 03:18:37,72,21.7786,87.7536,84.74,8.9
133,Puerto Ayora,100,EC,2022-03-27 03:18:38,84,-0.7393,-90.3518,78.22,7.52
134,Kirksville,0,US,2022-03-27 03:18:38,47,40.1948,-92.5833,34.59,6.91
135,Thompson,0,CA,2022-03-27 03:18:38,54,55.7435,-97.8558,-5.64,5.75
136,Flinders,99,AU,2022-03-27 03:19:39,78,-34.5833,150.8552,69.08,4.99
137,Carnarvon,75,AU,2022-03-27 03:19:39,42,-24.8667,113.6333,87.87,8.05
138,Qaanaaq,100,GL,2022-03-27 03:19:40,97,77.484,-69.3632,-7.38,5.95
139,Saldanha,41,ZA,2022-03-27 03:19:40,71,-33.0117,17.9442,60.85,3.85
140,Amet,2,IN,2022-03-27 03:19:40,14,25.3,73.9333,86.23,8.32
141,Bonthe,100,SL,2022-03-27 03:19:41,89,7.5264,-12.505,76.57,4.97
142,Dingle,100,PH,2022-03-27 03:19:41,55,10.9995,122.6711,88.72,13.15
143,Alta Floresta,97,BR,2022-03-27 03:19:42,96,-9.8756,-56.0861,72.52,2.3
144,Luderitz,0,NA,2022-03-27 03:19:42,65,-26.6481,15.1594,64.53,8.79
145,Khatanga,20,RU,2022-03-27 03:19:43,93,71.9667,102.5,-1.48,13.76
